restaurant_id,restaurant_name,city,locality,restaurant_type,cuisines,listing_date,days_listed,distance_from_city_center_km,opening_time,closing_time,days_operational,platform_performance_better,amenities,amenities_count,has_own_website,has_own_app,food_license_verified
REST000030,Restaurant_30,Mumbai,Mumbai_Locality_15,Food Truck,North Indian; Japanese,08-10-2023,950,6.5,11:00,23:00,798,Zomato Better,Rooftop; Live Music; Bar; Outdoor Seating; WiFi; Alcohol; Dine-in,7,FALSE,TRUE,TRUE
REST000031,Restaurant_31,Mumbai,Mumbai_Locality_16,Cloud Kitchen,Italian; Continental,01-08-2016,3574,14,11:00,23:00,1225,Zomato Better,Parking; Rooftop; Alcohol; WiFi; Dine-in; Bar,6,FALSE,FALSE,TRUE
REST000032,Restaurant_32,Mumbai,Mumbai_Locality_11,Cloud Kitchen,Japanese,03-03-2025,438,8.5,10:00,23:00,2255,Swiggy Better,Rooftop; Private Room; Dessert Bar; Outdoor Seating; Family Friendly; Dine-in; Bar; Parking,8,TRUE,FALSE,FALSE
REST000033,Restaurant_33,Mumbai,Mumbai_Locality_5,Fine Dine,Continental,30-11-2017,3088,1.6,09:00,23:00,3231,Balanced,Live Music; Dessert Bar; Private Room,3,FALSE,TRUE,TRUE
REST000034,Restaurant_34,Mumbai,Mumbai_Locality_15,Cloud Kitchen,Italian; Italian,05-06-2023,1075,2.9,07:00,22:00,1256,Zomato Better,Dessert Bar; Live Music; Family Friendly; Vegan Options; Outdoor Seating; Private Room; Rooftop,7,FALSE,FALSE,TRUE
REST000035,Restaurant_35,Mumbai,Mumbai_Locality_3,Cloud Kitchen,Seafood; Fast Food,25-06-2019,2516,6.9,11:00,23:00,1445,Swiggy Better,WiFi; Dine-in; Dessert Bar; AC; Smoking Area; Private Room; Vegan Options; Family Friendly,8,FALSE,TRUE,FALSE
REST000036,Restaurant_36,Mumbai,Mumbai_Locality_9,Casual Dining,Lebanese,29-05-2023,1082,10.3,12:00,22:00,2982,Zomato Better,Outdoor Seating; Rooftop; Alcohol; Parking,4,FALSE,TRUE,FALSE
REST000037,Restaurant_37,Mumbai,Mumbai_Locality_3,QSR (Quick Service),Mughlai; Street Food,01-03-2019,2632,2.5,12:00,23:00,954,Swiggy Better,Parking; Takeaway; Dessert Bar; Live Music; Family Friendly; Dine-in; Alcohol; Smoking Area,8,TRUE,TRUE,FALSE
REST000038,Restaurant_38,Mumbai,Mumbai_Locality_5,Cafe,Seafood; Italian,20-04-2021,1851,1.2,09:00,23:00,182,Zomato Better,Takeaway; Private Room; Family Friendly; Vegan Options; AC; WiFi; Dine-in; Parking,8,TRUE,FALSE,TRUE
REST000039,Restaurant_39,Mumbai,Mumbai_Locality_18,QSR (Quick Service),Italian; Pan-Asian,09-08-2017,3201,13.6,09:00,22:00,2671,Zomato Better,Live Music; Takeaway; Rooftop; Alcohol; Smoking Area; Vegan Options; Dessert Bar,7,TRUE,FALSE,TRUE
REST000040,Restaurant_40,Mumbai,Mumbai_Locality_5,Food Truck,North Indian,13-07-2020,2132,14.8,09:00,22:00,2242,Swiggy Better,Bar; Takeaway; Family Friendly,3,FALSE,FALSE,TRUE
REST000041,Restaurant_41,Mumbai,Mumbai_Locality_20,Cloud Kitchen,Thai,04-08-2019,2476,1.1,12:00,23:00,3238,Zomato Better,Outdoor Seating; WiFi; Vegan Options,3,FALSE,FALSE,FALSE
REST000042,Restaurant_42,Mumbai,Mumbai_Locality_4,Cloud Kitchen,Thai; Italian,16-03-2025,425,12.9,11:00,22:00,2696,Zomato Better,Takeaway; Private Room; Smoking Area,3,TRUE,FALSE,FALSE
REST000043,Restaurant_43,Mumbai,Mumbai_Locality_18,Casual Dining,Japanese,23-10-2016,3491,8.6,07:00,23:00,2774,Zomato Better,Private Room; Alcohol; Parking; Takeaway; WiFi,5,TRUE,FALSE,TRUE
REST000044,Restaurant_44,Mumbai,Mumbai_Locality_1,Food Truck,Biryani; Desserts,17-07-2024,667,3.1,09:00,23:00,2908,Zomato Better,Family Friendly; Parking; Outdoor Seating; Private Room; WiFi; Bar,6,TRUE,TRUE,TRUE
REST000045,Restaurant_45,Mumbai,Mumbai_Locality_15,Food Truck,South Indian; Desserts,16-01-2023,1215,10.1,11:00,23:00,2019,Zomato Better,Vegan Options; Dine-in; Private Room; Live Music; WiFi; Bar,6,TRUE,FALSE,FALSE
REST000046,Restaurant_46,Mumbai,Mumbai_Locality_14,Fine Dine,North Indian,12-05-2024,733,3,11:00,22:00,1587,Zomato Better,AC; Bar; Dessert Bar; Smoking Area; WiFi; Takeaway; Private Room,7,TRUE,FALSE,FALSE
REST000047,Restaurant_47,Mumbai,Mumbai_Locality_4,Cafe,Pan-Asian,06-10-2017,3143,4,10:00,22:00,2442,Zomato Better,Private Room; Dessert Bar; Outdoor Seating; Live Music; Takeaway; Rooftop; WiFi; Bar,8,TRUE,TRUE,TRUE
REST000048,Restaurant_48,Mumbai,Mumbai_Locality_19,Casual Dining,Lebanese,05-02-2021,1925,11.5,12:00,23:00,1868,Swiggy Better,Family Friendly; Dine-in; Private Room; Parking; WiFi; Takeaway,6,TRUE,FALSE,TRUE
REST000049,Restaurant_49,Mumbai,Mumbai_Locality_20,Cloud Kitchen,Korean; Mughlai,20-07-2025,299,7.4,07:00,23:00,647,Swiggy Better,Parking; WiFi; AC; Rooftop; Smoking Area,5,TRUE,FALSE,FALSE
REST000050,Restaurant_50,Mumbai,Mumbai_Locality_9,Fine Dine,Japanese; Seafood,02-08-2020,2112,11,11:00,22:00,2719,Zomato Better,Dessert Bar; Rooftop; Parking; Outdoor Seating; Smoking Area; Alcohol,6,TRUE,FALSE,FALSE
REST000051,Restaurant_51,Mumbai,Mumbai_Locality_7,Fine Dine,Pan-Asian,19-10-2025,208,5.5,10:00,22:00,3168,Zomato Better,Outdoor Seating; Smoking Area; Bar; Vegan Options,4,TRUE,FALSE,FALSE
REST000052,Restaurant_52,Mumbai,Mumbai_Locality_20,QSR (Quick Service),Biryani; Street Food,26-06-2016,3610,4.6,10:00,22:00,3096,Zomato Better,Outdoor Seating; Private Room; Live Music; Vegan Options; Smoking Area; WiFi,6,TRUE,FALSE,FALSE
REST000053,Restaurant_53,Mumbai,Mumbai_Locality_4,Food Truck,Italian; Thai,29-09-2024,593,4.6,08:00,23:00,3155,Zomato Better,Takeaway; Parking; Live Music; Dine-in; Private Room; Smoking Area,6,FALSE,TRUE,TRUE
REST000054,Restaurant_54,Mumbai,Mumbai_Locality_16,QSR (Quick Service),Multi-Cuisine; Continental,25-03-2018,2973,7,07:00,22:00,51,Zomato Better,Private Room; Family Friendly; Vegan Options,3,TRUE,TRUE,TRUE
REST000055,Restaurant_55,Mumbai,Mumbai_Locality_12,QSR (Quick Service),Mexican,20-08-2017,3190,4,08:00,22:00,1736,Zomato Better,Bar; Dine-in; Parking; Takeaway; Rooftop,5,TRUE,TRUE,FALSE
REST000056,Restaurant_56,Mumbai,Mumbai_Locality_11,Casual Dining,South Indian,30-01-2023,1201,12.3,12:00,23:00,747,Swiggy Better,Alcohol; AC; Smoking Area; Family Friendly; WiFi,5,TRUE,TRUE,FALSE
REST000057,Restaurant_57,Mumbai,Mumbai_Locality_4,Fine Dine,Lebanese,16-11-2018,2737,12.1,10:00,23:00,1819,Swiggy Better,Alcohol; WiFi; Parking; Takeaway,4,TRUE,FALSE,FALSE
REST000058,Restaurant_58,Mumbai,Mumbai_Locality_6,QSR (Quick Service),Street Food; Mexican,14-11-2024,547,10.5,10:00,22:00,1469,Swiggy Better,Outdoor Seating; Private Room; Vegan Options,3,FALSE,TRUE,TRUE
REST000059,Restaurant_59,Mumbai,Mumbai_Locality_13,Casual Dining,Lebanese,05-06-2019,2536,14.3,11:00,22:00,162,Swiggy Better,Outdoor Seating; Family Friendly; Alcohol; AC; Rooftop; Takeaway; WiFi; Dessert Bar,8,FALSE,TRUE,FALSE
REST000060,Restaurant_60,Mumbai,Mumbai_Locality_5,Cafe,Multi-Cuisine,29-12-2025,137,12.9,08:00,23:00,1881,Swiggy Better,Alcohol; Live Music; Takeaway; Private Room; Outdoor Seating,5,TRUE,FALSE,FALSE
REST000061,Restaurant_61,Mumbai,Mumbai_Locality_18,Food Truck,Korean,18-12-2016,3435,2.4,07:00,23:00,383,Zomato Better,Alcohol; Parking; Outdoor Seating; Smoking Area; Dessert Bar; Vegan Options; Rooftop; Bar,8,FALSE,TRUE,TRUE
REST000062,Restaurant_62,Mumbai,Mumbai_Locality_6,Food Truck,Continental,11-10-2025,216,5.2,08:00,23:00,2935,Swiggy Better,Outdoor Seating; Vegan Options; Private Room; Smoking Area; Bar; Rooftop; Parking; Dine-in,8,TRUE,TRUE,FALSE
REST000063,Restaurant_63,Mumbai,Mumbai_Locality_20,Cafe,Bakery; Mexican,27-10-2024,565,9.8,12:00,23:00,2069,Swiggy Better,Parking; Private Room; Bar; Smoking Area,4,FALSE,FALSE,FALSE
REST000064,Restaurant_64,Mumbai,Mumbai_Locality_8,Food Truck,Japanese,14-08-2020,2100,7.3,10:00,22:00,1125,Zomato Better,Alcohol; Family Friendly; Private Room; WiFi; Rooftop; Dine-in,6,TRUE,FALSE,FALSE
REST000065,Restaurant_65,Mumbai,Mumbai_Locality_2,Casual Dining,Bakery,15-03-2025,426,1.2,11:00,23:00,2057,Balanced,WiFi; Takeaway; AC; Alcohol; Family Friendly; Bar; Smoking Area,7,TRUE,TRUE,FALSE
REST000066,Restaurant_66,Mumbai,Mumbai_Locality_12,QSR (Quick Service),Mughlai,17-12-2020,1975,11.4,11:00,23:00,845,Swiggy Better,Vegan Options; Bar; WiFi; Smoking Area; Parking; Alcohol,6,FALSE,FALSE,TRUE
REST000067,Restaurant_67,Mumbai,Mumbai_Locality_19,QSR (Quick Service),Mughlai; Mexican,03-08-2024,650,5,12:00,22:00,3000,Zomato Better,Live Music; Dine-in; Vegan Options; Bar; Takeaway; Smoking Area; Private Room; Family Friendly,8,FALSE,FALSE,FALSE
REST000068,Restaurant_68,Mumbai,Mumbai_Locality_20,Cafe,Bakery,12-01-2020,2315,13.8,12:00,22:00,3605,Swiggy Better,Dessert Bar; Smoking Area; Rooftop; Bar; WiFi; Vegan Options; Family Friendly; Live Music,8,TRUE,FALSE,FALSE
REST000069,Restaurant_69,Mumbai,Mumbai_Locality_16,Casual Dining,Seafood; Bakery,30-09-2024,592,5.1,11:00,23:00,1458,Zomato Better,Dessert Bar; WiFi; Bar; Family Friendly; Live Music; Smoking Area,6,FALSE,FALSE,TRUE
REST000070,Restaurant_70,Mumbai,Mumbai_Locality_2,Food Truck,Korean,08-08-2021,1741,10.2,08:00,22:00,2205,Swiggy Better,Live Music; Rooftop; WiFi; Parking; Private Room; Dine-in; Takeaway; Smoking Area,8,TRUE,TRUE,TRUE
REST000071,Restaurant_71,Mumbai,Mumbai_Locality_10,Fine Dine,Mediterranean; Fast Food,10-01-2018,3047,13.2,09:00,22:00,67,Swiggy Better,Bar; Family Friendly; Dessert Bar; WiFi,4,TRUE,TRUE,FALSE
REST000072,Restaurant_72,Mumbai,Mumbai_Locality_6,QSR (Quick Service),Korean; Bakery,04-08-2025,284,9.4,10:00,23:00,2646,Zomato Better,Vegan Options; Bar; Smoking Area; Dine-in; WiFi,5,FALSE,TRUE,TRUE
REST000073,Restaurant_73,Mumbai,Mumbai_Locality_17,Cloud Kitchen,Seafood,31-05-2025,349,13.9,09:00,22:00,2911,Zomato Better,Rooftop; Dessert Bar; Live Music; Smoking Area; Private Room; Vegan Options; Takeaway,7,FALSE,FALSE,TRUE
REST000074,Restaurant_74,Mumbai,Mumbai_Locality_19,Fine Dine,Japanese; Bakery,15-07-2021,1765,8.3,09:00,23:00,703,Swiggy Better,Rooftop; WiFi; Bar; Dine-in; AC; Private Room; Smoking Area; Live Music,8,TRUE,TRUE,FALSE
REST000075,Restaurant_75,Mumbai,Mumbai_Locality_2,Cafe,Chinese,22-10-2017,3127,14.1,10:00,22:00,312,Zomato Better,Private Room; Parking; Takeaway; Outdoor Seating; Alcohol; AC; Dessert Bar; Bar,8,TRUE,TRUE,TRUE
REST000076,Restaurant_76,Mumbai,Mumbai_Locality_14,QSR (Quick Service),Street Food; Japanese,25-12-2017,3063,8.2,08:00,22:00,3402,Zomato Better,Vegan Options; Dine-in; Family Friendly,3,TRUE,TRUE,TRUE
REST000077,Restaurant_77,Mumbai,Mumbai_Locality_7,Cloud Kitchen,Street Food,05-10-2025,222,11.4,07:00,22:00,3208,Zomato Better,WiFi; Smoking Area; Dine-in; Alcohol; Vegan Options; Outdoor Seating,6,FALSE,FALSE,FALSE
REST000078,Restaurant_78,Mumbai,Mumbai_Locality_17,Cafe,Biryani,14-01-2019,2678,5.1,10:00,22:00,1735,Zomato Better,Alcohol; Smoking Area; Outdoor Seating; AC; Live Music; WiFi,6,TRUE,FALSE,TRUE
REST000079,Restaurant_79,Mumbai,Mumbai_Locality_7,Cloud Kitchen,Pan-Asian,07-01-2022,1589,1.2,12:00,22:00,1574,Swiggy Better,Rooftop; Family Friendly; Live Music; Bar; Vegan Options; Smoking Area; AC; Dessert Bar,8,FALSE,FALSE,FALSE
REST000080,Restaurant_80,Mumbai,Mumbai_Locality_9,Food Truck,Lebanese,25-11-2019,2363,5.7,10:00,23:00,3645,Swiggy Better,Vegan Options; Bar; AC; WiFi; Outdoor Seating; Live Music; Parking,7,TRUE,FALSE,TRUE
REST000081,Restaurant_81,Mumbai,Mumbai_Locality_11,Cloud Kitchen,Japanese; Biryani,29-09-2024,593,4.2,10:00,23:00,3395,Zomato Better,Private Room; Dessert Bar; Dine-in,3,TRUE,FALSE,TRUE
REST000082,Restaurant_82,Mumbai,Mumbai_Locality_17,Fine Dine,Continental,19-02-2024,816,7.1,11:00,23:00,277,Zomato Better,Smoking Area; Takeaway; Alcohol,3,TRUE,TRUE,FALSE
REST000083,Restaurant_83,Mumbai,Mumbai_Locality_12,QSR (Quick Service),Desserts; Chinese,02-12-2023,895,14.4,11:00,22:00,1910,Swiggy Better,Dessert Bar; Rooftop; Parking; Vegan Options; Takeaway; Alcohol,6,TRUE,TRUE,FALSE
REST000084,Restaurant_84,Mumbai,Mumbai_Locality_9,QSR (Quick Service),South Indian; Biryani,02-09-2020,2081,13.5,12:00,22:00,2338,Zomato Better,Private Room; Smoking Area; AC; Dessert Bar; Alcohol; Parking; Rooftop,7,TRUE,TRUE,FALSE
REST000085,Restaurant_85,Mumbai,Mumbai_Locality_3,Fine Dine,Italian,22-04-2018,2945,5.4,11:00,23:00,3179,Swiggy Better,WiFi; Rooftop; Live Music; Bar; Takeaway; Dessert Bar; Smoking Area,7,TRUE,FALSE,TRUE
REST000086,Restaurant_86,Mumbai,Mumbai_Locality_4,Cafe,Mediterranean,16-11-2019,2372,1.8,10:00,23:00,1292,Swiggy Better,Rooftop; Parking; AC; Dine-in; WiFi; Smoking Area; Vegan Options,7,TRUE,TRUE,TRUE
REST000087,Restaurant_87,Mumbai,Mumbai_Locality_9,Cafe,Mediterranean,08-05-2021,1833,4.9,08:00,22:00,2049,Zomato Better,WiFi; Dine-in; AC; Parking,4,FALSE,FALSE,FALSE
REST000088,Restaurant_88,Mumbai,Mumbai_Locality_10,Cloud Kitchen,Lebanese; Continental,18-02-2018,3008,5.1,08:00,23:00,2877,Zomato Better,Smoking Area; Vegan Options; Live Music,3,TRUE,TRUE,FALSE
REST000089,Restaurant_89,Mumbai,Mumbai_Locality_10,Cafe,Bakery,31-08-2017,3179,12.6,10:00,23:00,313,Zomato Better,Bar; Rooftop; Alcohol; Vegan Options; Dessert Bar,5,TRUE,TRUE,TRUE
REST000090,Restaurant_90,Mumbai,Mumbai_Locality_20,Cafe,Biryani,05-01-2026,130,1.1,12:00,23:00,2672,Swiggy Better,AC; Family Friendly; Rooftop; Dessert Bar; Vegan Options,5,TRUE,FALSE,FALSE
REST000091,Restaurant_91,Mumbai,Mumbai_Locality_3,Fine Dine,Seafood,25-12-2017,3063,2.2,08:00,23:00,3020,Zomato Better,Private Room; Parking; Dessert Bar,3,TRUE,TRUE,TRUE
REST000092,Restaurant_92,Mumbai,Mumbai_Locality_11,Food Truck,Fast Food,09-03-2022,1528,8.6,08:00,23:00,1922,Zomato Better,Rooftop; Bar; Smoking Area; Takeaway; Vegan Options,5,TRUE,TRUE,FALSE
REST000093,Restaurant_93,Mumbai,Mumbai_Locality_16,Casual Dining,Street Food,06-02-2022,1559,8.2,09:00,23:00,2647,Zomato Better,Parking; Takeaway; Live Music; WiFi,4,TRUE,TRUE,TRUE
REST000094,Restaurant_94,Mumbai,Mumbai_Locality_5,Food Truck,Mediterranean,17-08-2021,1732,8.8,08:00,23:00,1762,Zomato Better,Outdoor Seating; Live Music; AC; Alcohol; Bar; Family Friendly,6,FALSE,FALSE,FALSE
REST000095,Restaurant_95,Mumbai,Mumbai_Locality_1,Cloud Kitchen,Fast Food,13-01-2018,3044,12,09:00,22:00,933,Zomato Better,Private Room; Rooftop; Dine-in; Bar; Family Friendly; Alcohol; Live Music,7,FALSE,TRUE,TRUE
REST000096,Restaurant_96,Mumbai,Mumbai_Locality_12,QSR (Quick Service),South Indian,16-01-2023,1215,13,10:00,22:00,386,Swiggy Better,Alcohol; WiFi; Vegan Options; Smoking Area; Outdoor Seating,5,FALSE,FALSE,FALSE
REST000097,Restaurant_97,Mumbai,Mumbai_Locality_14,Food Truck,Biryani; Continental,10-03-2021,1892,13.8,12:00,22:00,1165,Swiggy Better,Takeaway; Dessert Bar; Rooftop; Smoking Area; AC; Alcohol,6,FALSE,FALSE,FALSE
REST000098,Restaurant_98,Mumbai,Mumbai_Locality_3,QSR (Quick Service),Korean,23-11-2024,538,11.1,12:00,23:00,1907,Swiggy Better,Rooftop; Parking; Dessert Bar; Dine-in; Bar; Takeaway,6,FALSE,TRUE,TRUE
REST000099,Restaurant_99,Mumbai,Mumbai_Locality_14,Cloud Kitchen,Street Food,31-05-2025,349,3.4,08:00,23:00,2850,Zomato Better,Bar; Rooftop; Live Music; AC; Dessert Bar; Takeaway; Vegan Options; Dine-in,8,TRUE,FALSE,TRUE
REST000100,Restaurant_100,Mumbai,Mumbai_Locality_15,Food Truck,Cafe,12-06-2019,2529,0.6,09:00,22:00,2879,Swiggy Better,Rooftop; Private Room; Smoking Area; Outdoor Seating; Dessert Bar; Bar,6,TRUE,TRUE,TRUE
REST000101,Restaurant_101,Mumbai,Mumbai_Locality_5,Cloud Kitchen,Pan-Asian; Lebanese,12-10-2016,3502,13.8,12:00,23:00,2553,Swiggy Better,Live Music; Alcohol; Vegan Options,3,FALSE,TRUE,FALSE
REST000102,Restaurant_102,Mumbai,Mumbai_Locality_13,Casual Dining,Thai; Bakery,18-02-2026,86,4.8,08:00,23:00,253,Zomato Better,Alcohol; Dessert Bar; Outdoor Seating; Family Friendly; Takeaway,5,TRUE,TRUE,FALSE
REST000103,Restaurant_103,Mumbai,Mumbai_Locality_17,Casual Dining,South Indian; Mediterranean,07-02-2018,3019,4.7,11:00,23:00,2948,Zomato Better,Vegan Options; Dessert Bar; Rooftop; Private Room; Bar; Takeaway,6,FALSE,FALSE,TRUE
REST000104,Restaurant_104,Mumbai,Mumbai_Locality_14,Fine Dine,Cafe,28-03-2017,3335,2.2,11:00,22:00,2537,Zomato Better,Outdoor Seating; Bar; Rooftop; WiFi; Takeaway,5,TRUE,FALSE,FALSE
REST000105,Restaurant_105,Mumbai,Mumbai_Locality_19,QSR (Quick Service),Thai,30-12-2020,1962,9.6,10:00,23:00,2062,Swiggy Better,Private Room; Smoking Area; Dine-in,3,TRUE,TRUE,FALSE
REST000106,Restaurant_106,Mumbai,Mumbai_Locality_2,Cloud Kitchen,Continental,27-04-2025,383,8.5,12:00,23:00,2954,Zomato Better,Smoking Area; Family Friendly; WiFi,3,FALSE,FALSE,FALSE
REST000107,Restaurant_107,Mumbai,Mumbai_Locality_19,Fine Dine,Pan-Asian,06-05-2020,2200,11.9,11:00,22:00,3059,Zomato Better,Dine-in; Rooftop; Dessert Bar; AC; WiFi,5,TRUE,TRUE,TRUE
REST000108,Restaurant_108,Mumbai,Mumbai_Locality_9,Cloud Kitchen,Multi-Cuisine; Continental,18-03-2021,1884,1.8,11:00,23:00,978,Swiggy Better,WiFi; Smoking Area; Parking; AC,4,FALSE,FALSE,FALSE
