restaurant_id,zomato_rating,zomato_total_reviews,zomato_delivery_fee_inr,zomato_avg_delivery_time_minutes,zomato_platform_commission_pct,zomato_discount_frequency_pct,zomato_estimated_monthly_orders,zomato_estimated_monthly_revenue_inr,zomato_estimated_net_profit_inr,zomato_market_share_pct
REST000089,4.3,1272,83,48,19,11,161,132496,125815,35
REST000090,3.9,877,30,29,21,12,191,25802,22937,40
REST000091,4.4,4278,31,31,12,13,186,186431,183548,49
REST000092,3.8,3250,63,31,17,8,115,19949,16326,46
REST000093,3.7,2893,60,35,21,15,226,194072,187292,49
REST000094,3.5,4555,64,42,17,5,104,42383,39055,49
REST000095,4.5,3756,80,40,23,31,304,306176,294016,34
REST000096,3.7,2882,85,48,18,14,175,200756,193319,52
REST000097,3.8,2648,89,45,19,11,105,55792,51120,45
REST000098,3.4,1794,75,41,20,14,192,158054,150854,49
REST000099,4.8,774,37,33,22,29,400,464880,457480,32
REST000100,4,3923,30,28,19,14,133,31780,29785,39
REST000101,3.9,1156,89,49,23,15,315,97505,83487,26
REST000102,4.2,591,44,34,19,23,195,194436,190146,55
REST000103,4.2,4414,43,36,23,20,265,287914,282217,59
REST000104,4.6,988,31,21,15,25,185,27518,24651,58
REST000105,4.3,3022,68,46,18,10,248,95985,87553,44
REST000106,4.3,2232,62,40,23,22,362,86130,74908,32
REST000107,4.1,1610,79,45,13,10,174,192101,185228,60
REST000108,3.6,4767,30,28,22,7,244,65660,62000,37
REST000109,4.1,2945,30,30,22,11,196,87906,84966,47
REST000110,4.1,1004,30,30,19,18,121,17053,15238,51
REST000111,4,1425,89,55,12,17,149,114598,107968,56
REST000112,4.1,4643,80,52,17,11,179,175015,167855,54
REST000113,3.5,1452,64,37,17,14,228,119978,112682,41
REST000114,3.7,2660,57,40,22,6,198,41853,36210,46
REST000115,4.5,3109,35,26,21,38,267,164103,159431,57
REST000116,4.1,565,34,33,21,23,194,132876,129578,55
REST000117,4.3,4491,41,45,15,23,137,39593,36784,47
REST000118,4.3,727,30,21,18,12,205,126579,123504,45
REST000119,4.8,514,55,31,20,27,248,91065,84245,59
REST000120,4.5,1379,80,46,25,24,373,163094,148174,37
REST000121,4.1,4783,65,40,20,23,141,40044,35461,53
REST000122,4.1,3061,30,34,27,17,368,51310,45790,39
REST000123,3.6,547,76,42,20,8,231,145437,136659,48
REST000124,4.5,1464,68,41,21,29,217,192173,184795,52
REST000125,4,4934,59,47,21,23,214,28233,21920,36
REST000126,3.6,2274,69,48,16,7,145,177949,172947,50
REST000127,3.7,3907,65,42,23,12,294,200119,190564,28
REST000128,3.8,3864,53,33,22,6,203,41010,35630,46
REST000129,4,1725,58,38,18,23,244,99039,91963,48
REST000130,4.2,4832,68,52,21,20,115,70499,66589,49
REST000131,4.4,3083,38,38,16,11,134,164450,161904,59
REST000132,4.4,974,42,35,19,16,266,156854,151268,51
REST000133,4.1,624,88,48,19,13,271,78365,66441,46
REST000134,3.4,771,70,42,14,12,112,87940,84020,54
REST000135,3.4,3967,50,40,19,14,98,91207,88757,54
REST000136,3.4,4037,30,39,21,8,167,106335,103830,59
REST000137,4.3,754,76,45,26,20,261,267885,257967,27
REST000138,3.9,385,47,36,14,8,171,71471,67452,49
REST000139,3.6,4140,30,27,20,13,176,59840,57200,40
REST000140,4.2,3719,89,57,22,20,144,47511,41103,37
REST000141,3.2,2352,65,37,21,9,158,126692,121557,54
REST000142,4.7,394,85,59,20,18,300,223440,210690,35
REST000143,3.8,3520,94,53,19,5,143,83513,76792,43
REST000144,4.3,2872,60,36,18,25,186,91969,86389,55
REST000145,4,369,75,45,23,10,244,142225,133075,35
REST000146,3.9,3349,30,29,13,15,129,105945,104010,55
REST000147,4.1,3213,50,43,23,21,144,140484,136884,49
REST000148,4.8,1176,91,59,21,37,135,51085,44942,50
REST000149,4.4,4795,30,27,17,17,267,102383,98378,49
REST000150,4.8,627,30,22,27,21,334,45838,40828,29
REST000151,3.4,4221,51,38,23,10,196,65952,60954,46
REST000152,4,2250,50,34,21,18,226,123014,117364,54
REST000153,4.2,979,30,30,20,23,137,68061,66006,53
REST000154,3.6,712,89,57,22,7,111,51341,46402,38
REST000155,3.5,3908,30,20,18,14,204,235697,232637,52
REST000156,4.1,696,79,45,21,13,179,103229,96158,50
REST000157,4.4,1474,67,41,22,14,274,194057,184878,35
REST000158,4.4,319,89,50,23,15,197,142133,133367,42
REST000159,4.3,1650,93,54,21,21,162,154855,147322,37
REST000160,3.8,4416,63,47,18,12,219,238302,231404,47
REST000161,4.3,632,73,44,24,25,297,290050,279209,38
REST000162,3.7,4043,67,39,14,14,159,181317,175990,45
REST000163,4,835,73,53,24,21,302,187288,176265,41
REST000164,3.3,3550,93,62,17,12,206,159011,149432,40
REST000165,4.1,2751,72,50,17,21,102,57738,54066,36
REST000166,3.3,4692,43,32,19,9,161,127540,124079,52
REST000167,4.4,532,90,52,12,14,184,181188,172908,54
REST000168,3.7,3837,83,47,25,15,226,213061,203682,42
REST000169,4.4,4039,33,38,27,21,266,218840,214451,29
REST000170,4.6,3392,68,41,26,39,357,141336,129198,39
REST000171,4.3,3052,30,27,18,22,195,175730,172805,53
REST000172,4.6,4279,78,49,16,37,172,83220,76512,55
REST000173,3.9,4770,80,46,20,15,187,168000,160520,40
REST000174,4.1,2063,81,49,18,21,230,43378,34063,56
REST000175,3.2,1966,55,31,25,13,276,166842,159252,34
REST000176,4.1,4023,37,27,16,16,157,161684,158780,59
REST000177,3.5,1592,91,47,20,15,108,106012,101098,36
REST000178,3.7,2659,54,45,21,12,106,116901,114039,47
REST000179,3.8,4692,30,29,22,8,250,90870,87120,52
REST000180,4.2,652,82,47,28,17,266,50561,39655,27
REST000181,4.3,1222,71,50,19,23,236,80287,71909,40
REST000182,4.2,4875,30,29,23,14,261,299847,295932,35
REST000183,4,4417,47,41,21,10,261,120208,114075,56
REST000184,3.9,1903,50,36,16,7,135,105348,101973,46
REST000185,3.8,2269,30,19,17,9,237,54291,50736,37
REST000186,3.8,3689,53,43,18,9,120,123984,120804,43
REST000187,4.2,1523,44,27,18,17,268,44611,38715,56
REST000188,3.9,1685,39,43,26,8,288,60739,55123,36
REST000189,3.8,1565,60,44,23,14,279,160263,151893,30
REST000190,4.5,3734,51,45,21,22,240,63326,57206,46
REST000191,3.8,1338,62,49,22,9,140,48703,44363,47
REST000192,4.1,63,38,29,18,7,135,72065,69500,42
REST000193,3.6,4698,94,59,18,10,177,188827,180508,43
REST000194,4.4,728,60,34,15,18,184,178296,172776,48
REST000195,3.7,3401,31,34,18,9,112,22317,20581,42
REST000196,3.8,301,83,52,22,11,190,218150,210265,46
REST000197,3.8,967,47,31,15,10,138,91611,88368,60
REST000198,4.4,2552,80,57,21,16,254,164541,154381,48
REST000199,4.2,4370,30,19,13,13,180,125749,123049,56
REST000200,4,877,67,45,21,21,114,84206,80387,51
REST000201,4.3,2987,72,55,14,10,180,147369,140889,55
REST000202,4.5,4374,30,32,23,22,296,249344,244904,43
REST000203,3.7,2533,31,30,19,15,222,176403,172962,48
REST000204,3.1,4783,64,38,17,5,193,26591,20415,47
REST000205,3.8,1149,74,43,19,7,210,91003,83233,55
REST000206,3.7,4532,85,53,20,13,240,205632,195432,54
REST000207,4,2018,33,24,15,19,169,160457,157668,50
REST000208,4.2,4702,77,44,20,12,266,54264,44023,40
REST000209,4.1,2818,49,35,22,22,108,27125,24479,39
REST000210,4.6,1924,30,23,15,34,174,137103,134493,56
REST000211,3.3,1606,41,39,21,5,197,188934,184896,51
REST000212,3.8,1074,70,36,17,9,167,127382,121537,52
REST000213,3.9,578,50,36,18,8,208,197337,192137,47
REST000214,4.3,4717,90,51,27,17,355,40686,24711,35
REST000215,3.8,3775,68,41,18,6,233,141957,134035,54
REST000216,4,469,69,43,26,14,308,191680,181054,43
REST000217,3.8,4884,55,48,18,10,125,144525,141087,54
REST000218,3.5,2005,31,30,17,12,113,125772,124020,47
REST000219,3.9,4105,60,39,17,8,173,201456,196266,39
REST000220,4.8,2993,72,49,20,21,274,160673,150809,43
REST000221,4.2,1648,76,46,20,24,119,87488,82966,43
REST000222,4.1,1811,30,22,18,17,199,123037,120052,42
REST000223,4.1,1230,76,44,26,11,281,275312,264634,44
REST000224,4,4682,44,35,19,24,196,213532,209220,40
REST000225,3.9,432,79,52,21,13,147,43781,37974,54
REST000226,4,4367,30,24,21,16,215,210783,207558,48
REST000227,4.3,3892,60,44,17,20,209,149184,142914,55
REST000228,4.4,1327,49,49,21,15,230,226398,220763,38
REST000229,4.3,2480,71,42,20,14,231,73550,65349,53
REST000230,3.1,4523,75,51,18,14,93,29665,26177,38
REST000231,4.4,3038,59,43,22,16,205,150306,144258,55
REST000232,4.2,3405,94,51,18,19,196,81645,72433,49
REST000233,4.8,243,31,23,19,23,297,94784,90181,45
REST000234,4.3,2926,56,45,22,13,269,52245,44713,46
REST000235,3.9,1276,49,39,22,11,223,205249,199785,47
REST000236,4.1,1064,78,44,20,12,220,77616,69036,57
REST000237,4.1,1024,56,49,13,21,140,168327,164407,57
REST000238,3.6,3012,88,59,23,8,112,117027,112099,53
REST000239,4.5,3646,30,27,17,31,207,105147,102042,38
REST000240,4.2,4883,93,61,16,18,178,146081,137804,49
REST000241,4,3144,30,24,17,25,255,293770,289945,43
REST000242,4,2492,55,39,13,25,177,74839,69971,49
REST000243,4.3,230,45,37,19,17,105,121621,119259,48
REST000244,4.6,192,56,42,18,8,308,201542,192918,51
REST000245,4,763,38,34,20,21,207,220910,216977,59
REST000246,3.6,1538,60,41,19,14,223,240418,233728,48
REST000247,4.5,1963,84,51,25,33,311,89101,76039,29
REST000248,3.6,3261,45,41,21,13,151,52129,48732,45
REST000249,4.4,4027,30,37,21,14,178,174650,171980,49
REST000250,3.7,2103,88,57,22,15,231,138017,127853,50
REST000251,3.5,3457,86,45,27,15,307,309944,296743,38
REST000252,3.5,3708,30,27,19,8,144,131686,129526,52
REST000253,4.8,3295,68,45,18,20,151,175205,170071,59
REST000254,3.7,3356,84,53,18,6,223,81921,72555,50
REST000255,3.8,4977,30,19,19,15,141,157038,154923,55
REST000256,4.1,4099,74,35,21,20,230,131732,123222,49
REST000257,4.6,344,41,39,17,13,193,168840,164883,53
REST000258,3.9,3239,40,26,17,12,120,91134,88734,38
REST000259,4.2,3277,76,48,21,13,198,51931,44407,47
REST000260,4.2,1536,86,49,21,25,240,196994,186674,45
REST000261,3.8,3490,53,42,19,13,226,182144,176155,51
REST000262,3.8,1739,45,41,25,5,321,127356,120134,40
REST000263,4,1551,81,56,21,16,151,24335,18219,42
REST000264,4.5,427,56,39,17,11,200,138278,132678,49
REST000265,4.4,3682,42,34,23,20,361,289922,282341,41
REST000266,4.4,4054,71,51,24,15,284,166412,156330,25
REST000267,3.1,3754,87,50,18,5,206,63682,54721,43
REST000268,4.2,2019,47,40,22,17,163,142396,138566,53
REST000269,3.5,704,91,66,27,15,262,161040,149119,42
REST000270,4.1,3632,88,46,19,20,198,137445,128733,47
REST000271,4.7,4149,30,17,18,34,163,50256,47811,50
REST000272,4.3,2969,74,51,17,25,250,224100,214850,38
REST000273,4,1069,75,45,21,21,118,111957,107532,51
REST000274,4.1,4840,44,37,17,10,149,125277,121999,47
REST000275,3.5,3695,83,56,21,8,123,103874,98770,53
REST000276,4.5,443,69,43,21,10,147,152943,147871,45
REST000277,3.7,755,47,35,27,9,245,68678,62920,39
REST000278,4.6,1947,41,33,14,22,202,201341,197200,46
REST000279,4.8,4413,84,49,23,29,277,216915,205281,54
REST000280,3.4,3548,44,26,14,12,125,62457,59707,55
REST000281,3.5,4422,71,39,23,14,155,25421,19919,46
REST000282,4.7,1821,77,46,26,20,390,181529,166514,44
REST000283,4.7,4295,35,38,20,37,225,127980,124042,35
REST000284,4.3,3687,48,36,17,23,276,182576,175952,53
REST000285,3.7,1962,54,30,17,6,135,94906,91261,45
REST000286,4.4,3377,30,22,15,13,136,72481,70441,51
REST000287,4.4,1533,88,53,15,21,141,77542,71338,58
REST000288,4,3467,70,48,19,25,195,134889,128064,37
REST000289,3.8,3089,69,50,24,6,317,137324,126387,45
REST000290,4.1,838,74,44,19,19,220,34214,26074,50
REST000291,4,4821,73,42,21,14,212,89936,82198,58
REST000292,3.5,4771,74,39,27,8,272,192801,182737,32
REST000293,4,3840,48,41,18,18,239,202839,197103,55
REST000294,4.7,1571,46,35,17,29,194,223334,218872,49
REST000295,3.6,2574,57,44,27,10,279,108759,100808,37
REST000296,4.1,1149,78,45,22,22,256,92651,82667,44
REST000297,4.1,229,35,41,19,12,136,58605,56225,47
REST000298,3.7,1310,50,35,20,5,248,274982,268782,57
REST000299,3.4,3213,43,25,26,12,305,317108,310551,37
REST000300,4.4,3030,73,40,18,11,279,70006,59823,39
REST000301,4,1994,31,36,17,15,194,168426,165419,47
REST000302,4,852,74,41,19,17,248,190635,181459,51
REST000303,3.9,892,80,55,19,6,257,170491,160211,51
REST000304,4.2,2480,30,28,18,15,184,207610,204850,49
REST000305,4,4822,66,50,21,12,191,26707,20404,37
REST000306,4.3,4276,94,51,19,16,242,195823,184449,60
REST000307,4.3,1945,30,31,13,17,139,143785,141700,55
REST000308,3.3,172,53,39,25,9,266,185734,178685,27
REST000309,4,3066,30,26,17,22,214,166252,163042,43
REST000310,3.5,4969,57,38,21,5,183,156424,151209,50
REST000311,3.7,905,41,29,18,9,104,123826,121694,39
REST000312,4.2,3701,35,28,22,23,111,113506,111563,54
REST000313,4,4781,39,36,23,25,229,41437,36972,55
REST000314,4,1147,30,21,22,24,216,34032,30792,49
REST000315,4.8,832,57,43,15,21,204,162649,156835,58
REST000316,4.8,1322,38,27,25,24,410,251535,243745,41
REST000317,4.2,1551,38,31,21,11,161,49222,46163,49
REST000318,4.3,4916,83,64,21,16,132,83945,78467,53
REST000319,4.2,3216,94,58,21,22,247,185373,173764,56
REST000320,3.8,2977,43,39,23,7,98,100210,98103,38
REST000321,4,3085,40,36,21,21,102,120708,118668,39
REST000322,3.8,3562,57,39,17,11,158,99797,95294,59
REST000323,3.9,296,31,28,15,5,125,34318,32381,55
REST000324,3.9,1550,66,52,18,9,181,65304,59331,36
REST000325,4.3,3058,71,37,23,22,359,360464,347720,33
REST000326,4.6,90,69,53,23,13,199,53630,46765,47
REST000327,3.8,1283,62,45,21,8,256,302551,294615,40
REST000328,4.1,1362,78,51,22,14,272,281748,271140,44
REST000329,3.4,1853,40,37,20,7,173,70307,66847,45
REST000330,3.7,481,51,37,19,11,195,138680,133707,49
REST000331,4.6,2217,39,32,26,31,338,93044,86453,36
REST000332,4.6,4121,58,49,24,27,353,253792,243555,29
REST000333,4.7,2036,40,40,20,26,230,189152,184552,39
REST000334,4.4,4186,50,33,24,17,342,266158,257608,40
REST000335,4.2,4530,36,38,25,17,322,100464,94668,38
REST000336,4.1,2078,44,33,17,25,156,167935,164503,53
REST000337,4.6,4617,58,42,18,36,143,111279,107132,51
REST000338,3.9,2225,60,38,17,15,109,23069,19799,39
REST000339,3.4,4960,35,36,21,7,123,124183,122030,49
REST000340,4,3239,64,45,26,13,339,349698,338850,36
REST000341,3.9,4453,42,32,22,9,190,124932,120942,52
REST000342,4,3167,87,55,16,25,148,56068,49630,46
REST000343,3.6,2480,66,39,16,6,119,142842,138915,58
REST000344,4.7,3164,53,43,27,24,398,253350,242803,31
REST000345,4.3,912,39,30,18,14,103,22973,20964,38
REST000346,4.1,2017,70,45,20,19,154,37822,32432,47
REST000347,3.7,4121,33,25,20,8,163,101190,98500,52
REST000348,4.2,2981,34,26,18,10,219,248718,244995,50
REST000349,3,1606,30,20,18,13,84,54690,53430,36
REST000350,3.9,1776,33,36,28,12,324,347353,342007,25
REST000351,4,4492,92,53,17,21,237,64520,53618,57
REST000352,4.3,3621,58,39,24,18,311,212960,203941,39
REST000353,4.1,903,86,53,20,20,135,35100,29295,36
REST000354,4.1,3125,33,28,12,23,155,37782,35225,54
REST000355,4.5,2442,71,56,22,31,232,87946,79710,45
REST000356,4,1039,30,33,28,15,331,345325,340360,43
REST000357,4.6,4295,69,46,21,33,260,171919,162949,46
REST000358,3.6,2384,30,37,17,10,153,128386,126091,52
REST000359,4,4261,71,48,20,16,181,199534,193108,44
REST000360,3.5,4539,59,39,26,5,285,100177,91770,43
REST000361,3.7,199,83,49,18,9,188,224611,216809,53
REST000362,4.2,1329,92,64,27,20,263,99450,87352,32
REST000363,4.2,1145,59,44,18,21,109,53628,50412,52
REST000364,3,3560,80,52,21,8,144,120926,115166,39
REST000365,4.3,1198,53,41,25,17,285,169503,161951,45
REST000366,4.1,2258,45,38,18,19,116,96261,93651,43
REST000367,4.4,2260,47,30,26,19,267,157866,151591,34
REST000368,3.5,440,35,30,19,11,175,96531,93469,59
REST000369,3.1,3964,60,45,22,15,84,40098,37578,41
REST000370,3.7,1271,47,37,25,11,324,287469,279855,27
REST000371,4.2,698,36,32,12,21,128,98560,96256,52
REST000372,3.5,1808,66,44,23,14,271,80337,71394,40
REST000373,4,2511,43,41,20,25,181,92382,88490,52
REST000374,3.6,1210,82,55,24,15,285,74077,62392,38
REST000375,4.1,3538,93,56,18,24,219,159107,148924,37
REST000376,5,1215,54,33,18,29,151,136821,132744,49
REST000377,4.1,4122,30,27,18,19,118,125594,123824,50
REST000378,3.8,3420,63,46,20,11,236,242608,235174,49
REST000379,3.4,1997,88,52,24,7,207,210494,201386,34
REST000380,4.4,444,63,41,22,19,275,122050,113388,36
REST000381,4.6,3324,57,38,22,34,162,144050,139433,38
REST000382,4.4,3810,92,51,24,19,338,257650,242102,39
REST000383,4.5,4212,48,38,25,28,400,83400,73800,32
REST000384,3.8,880,82,47,22,6,95,86845,82950,40
REST000385,3.8,3103,78,47,15,8,153,54881,48914,57
REST000386,3.7,1528,81,48,20,14,134,157048,151621,51
REST000387,3.7,3208,66,47,15,11,132,98960,94604,45
REST000388,3.7,1940,32,35,22,10,218,197246,193758,37
REST000389,4.1,185,59,42,19,5,202,43032,37073,51
REST000390,4,4402,54,41,17,14,99,107889,105216,38
REST000391,3.3,3643,30,25,25,10,259,149378,145493,39
REST000392,3.9,945,75,47,22,5,253,38086,28599,49
REST000393,3.9,4996,60,36,22,14,241,157527,150297,48
REST000394,4.1,710,34,26,24,18,299,150205,145122,34
REST000395,4.3,2274,57,36,27,25,381,389103,378245,36
REST000396,4.2,2118,64,33,21,13,194,28046,21838,55
REST000397,4.1,2754,30,25,17,11,122,99741,97911,36
REST000398,3.7,4134,50,31,22,14,227,234781,229106,52
REST000399,4.3,2974,76,52,21,23,206,50937,43109,46
REST000400,3.7,1483,31,29,23,7,109,90560,88870,50
REST000401,3.5,4996,40,38,28,15,245,249076,244176,44
REST000402,3.9,4051,50,38,23,10,117,76396,73471,44
REST000403,3.8,4975,43,31,17,5,145,44168,41050,58
REST000404,4.1,721,83,49,17,12,115,41043,36271,53
REST000405,3.8,1131,70,53,13,12,170,199665,193715,50
REST000406,3.8,3976,53,35,24,12,262,246112,239169,39
REST000407,4.3,3972,56,34,18,11,228,215190,208806,54
REST000408,4.1,4401,47,33,13,10,179,89077,84871,45
REST000409,4.3,121,43,27,22,7,211,36701,32164,52
REST000410,4.1,4965,85,54,27,23,257,86300,75378,37
REST000411,4.9,3063,63,36,27,31,374,346462,334681,33
REST000412,4.2,2561,32,28,22,16,255,167274,163194,50
REST000413,4.4,329,77,48,17,22,144,121671,116127,52
REST000414,3.1,4264,33,35,21,7,96,105265,103681,36
REST000415,3.6,2880,61,40,19,14,192,225970,220114,42
REST000416,4.6,4964,31,27,18,27,268,157567,153413,43
REST000417,4.4,1982,59,46,22,12,247,249880,242593,41
REST000418,3.5,3484,70,38,19,8,139,66090,61225,37
REST000419,4.1,259,69,44,22,11,120,104270,100130,45
REST000420,3.5,2602,30,25,18,11,137,55720,53665,46
REST000421,4.4,3829,68,42,23,12,155,156706,151436,36
REST000422,4.4,1468,83,53,27,19,360,189478,174538,40
REST000423,4,1709,50,31,18,18,188,131036,126336,38
REST000424,3.4,1310,70,45,19,12,83,68103,65198,37
REST000425,4.3,3292,44,35,23,16,289,303530,297172,37
REST000426,4.2,3586,70,42,22,21,281,73206,63371,34
REST000427,3.2,4900,31,28,22,8,274,204316,200069,32
REST000428,3.7,2558,44,29,18,15,175,135177,131327,56
REST000429,4.1,2128,30,32,22,21,134,151344,149334,37
REST000430,4.1,4020,81,57,19,10,260,229975,219445,41
REST000431,4.1,4052,60,38,23,11,120,95356,91756,46
REST000432,3.6,1579,30,30,18,10,230,248763,245313,45
REST000433,4.5,805,79,56,21,34,277,131954,121012,51
REST000434,4.1,653,38,33,20,19,257,296680,291797,53
REST000435,4.7,804,76,62,23,37,320,236544,224384,34
REST000436,3.6,2355,59,49,22,15,168,140212,135256,47
REST000437,3.9,1373,67,38,21,13,147,152710,147786,36
REST000438,4,4107,56,43,18,12,205,245930,240190,48
REST000439,4.3,2409,74,39,18,24,173,136894,130493,59
REST000440,4.5,4036,80,44,20,38,181,94264,87024,41
REST000441,3.8,1210,63,47,18,7,107,122309,118939,42
REST000442,3.7,3121,50,35,18,15,113,16586,13761,51
REST000443,3.8,660,91,55,18,8,220,47625,37615,50
REST000444,4.7,3813,60,39,13,34,146,44584,40204,55
REST000445,4,4936,79,48,23,18,106,57460,53273,45
REST000446,3.4,3640,56,34,27,9,223,138534,132290,41
REST000447,3.4,1883,70,46,19,10,181,100867,94532,55
REST000448,4.4,3512,82,55,20,13,177,132112,124855,51
REST000449,3.8,3599,65,44,22,7,141,80505,75922,40
REST000450,4.5,2969,60,37,19,28,126,108489,104709,49
REST000451,3.8,4423,49,41,13,6,150,150988,147313,59
REST000452,4.2,185,30,27,23,7,344,257463,252303,28
REST000453,3.8,1053,37,33,21,9,151,149828,147034,38
REST000454,4.7,1031,50,35,13,23,176,52060,47660,51
REST000455,4,2549,30,30,23,25,292,63629,59249,39
REST000456,4.3,3054,33,32,23,21,269,292881,288443,57
REST000457,4.1,3349,46,33,18,17,213,42791,37892,41
REST000458,3.7,3924,57,30,18,8,191,181522,176079,57
REST000459,4.3,4756,64,33,23,14,290,49126,39846,42
REST000460,3.9,4224,55,48,20,12,197,132384,126966,56
REST000461,4.5,4144,31,36,27,20,323,123318,118311,25
REST000462,3.4,1255,49,34,23,9,86,83238,81131,38
REST000463,4.4,1996,65,36,22,17,206,152806,146111,47
