restaurant_id,swiggy_rating,swiggy_total_reviews,swiggy_delivery_fee_inr,swiggy_avg_delivery_time_minutes,swiggy_platform_commission_pct,swiggy_discount_frequency_pct,swiggy_estimated_monthly_orders,swiggy_estimated_monthly_revenue_inr,swiggy_estimated_net_profit_inr,swiggy_market_share_pct
REST000077,3.7,4729,77,41,24,15,319,322930,310648,61
REST000078,3.9,4416,45,37,22,13,173,86766,82873,59
REST000079,4.2,4823,30,17,28,16,306,130870,126280,62
REST000080,4.9,3856,48,32,18,28,176,81685,77461,56
REST000081,3.4,2895,41,32,25,5,298,97446,91337,73
REST000082,4,4369,55,45,18,23,124,100866,97456,44
REST000083,4.3,670,92,49,21,12,244,65731,54507,55
REST000084,4.3,138,87,57,23,14,255,265465,254372,61
REST000085,4.3,2249,47,36,13,22,185,185736,181388,46
REST000086,4,725,30,22,17,12,169,144758,142223,53
REST000087,4.2,2465,44,27,20,24,193,47400,43154,59
REST000088,3.6,2624,45,28,24,11,301,330786,324014,60
REST000089,4.2,2079,83,50,20,23,157,127609,121094,65
REST000090,4.4,3536,30,30,20,17,216,29548,26308,60
REST000091,3.8,1704,31,28,15,5,161,155872,153376,51
REST000092,3.8,3550,63,41,20,8,115,19228,15605,54
REST000093,3.6,2860,60,34,19,6,220,193703,187103,51
REST000094,3.6,1429,64,39,20,10,107,42029,38605,51
REST000095,3.9,1387,80,48,23,13,263,264883,254363,66
REST000096,4,4826,85,48,18,11,189,216817,208784,48
REST000097,3.9,1208,89,53,20,11,108,56678,51872,55
REST000098,4.4,3268,75,49,19,14,249,207539,198201,51
REST000099,4.5,2254,37,30,26,40,375,413475,406537,68
REST000100,4.4,1092,30,26,18,19,147,35559,33354,61
REST000101,4.1,833,89,48,24,18,332,101432,86658,74
REST000102,3.8,4875,44,35,19,14,176,175491,171619,45
REST000103,3.6,4405,43,35,23,7,227,246628,241748,41
REST000104,3.8,1448,31,27,18,9,153,21955,19584,42
REST000105,4.7,1377,68,44,21,36,271,101050,91836,56
REST000106,4,2630,62,39,22,11,337,81223,70776,68
REST000107,3.5,4051,79,49,14,10,148,161518,155672,40
REST000108,3.9,705,30,21,26,15,265,67654,63679,63
REST000109,3.6,4400,30,23,18,9,172,81098,78518,53
REST000110,4.2,1155,30,35,18,12,124,17692,15832,49
REST000111,3.6,3505,89,53,17,14,134,97206,91243,44
REST000112,3.3,2828,80,47,21,9,144,134009,128249,46
REST000113,5,1433,64,35,22,31,326,161213,150781,59
REST000114,4.1,1463,57,46,22,21,219,46292,40050,54
REST000115,4.1,1446,35,30,17,22,243,156914,152662,43
REST000116,3.7,2054,34,30,19,7,175,122897,119922,45
REST000117,4.2,624,41,25,16,15,133,37984,35258,53
REST000118,4.2,3512,30,30,18,19,200,123492,120492,55
REST000119,3.9,4632,55,39,19,14,202,75101,69546,41
REST000120,4.5,1426,80,50,28,40,373,156570,141650,63
REST000121,3.8,4826,65,48,19,10,131,37669,33411,47
REST000122,4.4,2210,30,22,27,13,395,55074,49149,61
REST000123,4.2,1312,76,46,20,15,270,169992,159732,52
REST000124,4,3664,68,40,22,12,193,168755,162193,48
REST000125,3.8,1428,59,41,21,9,203,26781,20793,64
REST000126,3.8,2764,69,42,18,8,153,183297,178018,50
REST000127,4,4389,65,33,27,13,318,205211,194876,72
REST000128,3.6,974,53,42,17,13,192,41274,36186,54
REST000129,4,2250,58,37,22,23,244,94208,87132,52
REST000130,3.9,4133,68,48,19,14,107,67255,63617,51
REST000131,4.5,316,38,31,18,10,137,164128,161525,41
REST000132,3.3,4200,42,35,18,13,199,118795,114616,49
REST000133,4.1,4201,88,58,23,11,271,74495,62571,54
REST000134,4.8,2207,70,46,18,32,158,118288,112758,46
REST000135,4.5,1080,50,40,19,36,130,120989,117739,46
REST000136,4.5,623,30,27,18,32,221,146063,142748,41
REST000137,3.6,11,76,54,25,12,219,227814,219492,73
REST000138,3.6,880,47,26,14,8,158,66037,62324,51
REST000139,4.1,4837,30,27,20,25,200,68000,65000,60
REST000140,3.7,2419,89,56,20,13,127,42976,37325,63
REST000141,3.6,4383,65,45,18,8,178,148149,142364,46
REST000142,4.1,2366,85,41,19,10,262,197576,186441,65
REST000143,4,342,94,52,19,14,150,87601,80551,57
REST000144,3.6,763,60,46,14,14,156,80898,76218,45
REST000145,3.5,3997,75,49,28,13,213,116093,108106,65
REST000146,3.7,2128,30,23,14,5,122,99044,97214,45
REST000147,3.5,1127,50,35,22,15,123,121555,118480,51
REST000148,4.2,4208,91,56,18,11,118,46348,40979,50
REST000149,3.8,2514,30,24,20,8,231,85377,81912,51
REST000150,3.9,636,30,32,25,8,271,38211,34146,71
REST000151,4.4,1368,51,34,21,25,254,87688,81211,54
REST000152,4.4,4281,50,31,19,12,249,138964,132739,46
REST000153,4.1,4941,30,24,21,15,134,65739,63729,47
REST000154,4.5,2332,89,37,18,39,139,67590,61404,62
REST000155,4.3,1463,30,18,22,14,251,275854,272089,48
REST000156,3.7,1914,79,43,17,5,162,98155,91756,50
REST000157,3.4,3962,67,38,20,11,212,153996,146894,65
REST000158,4,4999,89,57,19,11,179,135855,127890,58
REST000159,3.8,4811,93,61,20,13,144,139392,132696,63
REST000160,4.7,2121,63,42,20,30,272,288755,280187,53
REST000161,4.5,2811,73,51,27,26,310,290795,279480,62
REST000162,4.2,2593,67,47,17,17,180,198104,192074,55
REST000163,4.3,4769,73,39,24,20,325,201552,189689,59
REST000164,3.9,4559,93,57,20,11,243,180792,169492,60
REST000165,3.4,3695,72,41,19,6,84,46403,43379,64
REST000166,3.4,3465,43,35,18,9,166,133125,129556,48
REST000167,4.1,792,90,52,17,18,171,158819,151124,46
REST000168,4.2,3910,83,56,28,24,257,232595,221929,58
REST000169,3.7,78,33,27,26,13,224,186811,183115,71
REST000170,3.9,2212,68,46,26,9,302,119561,109293,61
REST000171,3.8,4092,30,28,22,9,173,148299,145704,47
REST000172,4.2,779,78,40,14,11,157,77771,71648,45
REST000173,4,354,80,47,18,20,191,175884,168244,60
REST000174,4.4,1113,81,44,21,15,247,44879,34876,44
REST000175,3.9,2992,55,37,24,12,336,205820,196580,66
REST000176,4.6,3193,37,27,13,20,176,187725,184469,41
REST000177,3.9,1562,91,49,20,6,121,118773,113268,64
REST000178,4.2,3537,54,39,20,21,121,135132,131865,53
REST000179,4.4,4684,30,31,19,17,290,109463,105113,48
REST000180,4.7,3135,82,53,25,23,298,59004,46786,73
REST000181,4.1,3240,71,42,20,22,225,75600,67612,60
REST000182,3.8,2832,30,32,21,12,236,278168,274628,65
REST000183,3.9,1722,47,37,20,7,255,118932,112939,44
REST000184,4.1,3176,50,29,15,12,142,112130,108580,54
REST000185,3.8,4116,30,19,22,13,237,51021,47466,63
REST000186,4.9,2707,53,43,21,24,155,154287,150179,57
REST000187,4.1,1087,44,35,20,17,262,42548,36784,44
REST000188,4.3,1671,39,38,26,24,318,67066,60865,64
REST000189,3.5,413,60,31,24,9,257,145708,137998,70
REST000190,4.2,1664,51,37,22,13,224,58356,52644,54
REST000191,3.5,1239,62,45,19,12,129,46602,42603,53
REST000192,3.9,4926,38,35,22,7,128,64995,62563,58
REST000193,3.5,4883,94,57,23,9,172,172304,164220,57
REST000194,4.5,4343,60,40,16,30,188,180028,174388,52
REST000195,4,3406,31,26,17,19,121,24404,22528,58
REST000196,4.4,3897,83,52,22,24,220,252595,243465,54
REST000197,3.6,4885,47,34,14,8,131,87987,84908,40
REST000198,3.8,4299,80,55,23,7,219,138276,129516,52
REST000199,3.9,2276,30,27,13,14,167,116667,114162,44
REST000200,4.1,423,67,48,21,24,117,86422,82502,49
REST000201,4,2123,72,50,17,25,168,132746,126698,45
REST000202,3.7,2484,30,24,20,11,243,212673,209028,57
REST000203,3.3,1453,31,31,22,12,198,151505,148436,52
REST000204,3.8,741,64,38,22,13,236,30557,23005,53
REST000205,3.4,3900,74,37,20,15,188,80464,73508,45
REST000206,3.7,3484,85,48,17,8,240,213343,203143,46
REST000207,3.8,734,33,25,16,14,161,151063,148406,50
REST000208,4.4,1395,77,45,17,14,279,59050,48308,60
REST000209,3.3,281,49,43,22,11,87,21850,19719,61
REST000210,3.8,4372,30,25,15,9,144,113464,111304,44
REST000211,4.1,4832,41,29,20,12,245,237944,232921,49
REST000212,3.9,4963,70,39,18,7,172,129615,123595,48
REST000213,4.3,3619,50,40,21,23,230,210226,204476,53
REST000214,4.2,3215,90,41,25,12,347,40859,25244,65
REST000215,3,669,68,42,19,11,184,110736,104480,46
REST000216,4.1,2789,69,44,27,24,315,193387,182520,57
REST000217,4.1,4082,55,40,17,22,135,157990,154278,46
REST000218,3.8,3603,31,31,16,5,123,138552,136645,53
REST000219,3.9,1484,60,47,19,8,173,196602,191412,61
REST000220,4.5,452,72,46,22,13,257,146937,137685,57
REST000221,3.9,3389,76,49,17,8,111,84667,80449,57
REST000222,3.8,2824,30,20,21,13,184,109601,106841,58
REST000223,3.7,4857,76,51,28,13,253,241179,231565,56
REST000224,3.7,3772,44,40,22,10,182,190936,186932,60
REST000225,4,2991,79,44,19,12,151,46110,40146,46
REST000226,3.2,3861,30,32,21,6,172,168627,166047,52
REST000227,3.5,1091,60,33,18,8,170,119884,114784,45
REST000228,3.7,1372,49,33,21,7,194,190961,186208,62
REST000229,3,4381,71,49,18,10,161,52543,46828,47
REST000230,3.9,1152,75,45,20,5,117,36410,32022,62
REST000231,3.5,3513,59,37,23,6,163,117979,113170,45
REST000232,4.3,2249,94,47,18,22,201,83728,74281,51
REST000233,4.4,2014,31,30,21,25,272,84662,80446,55
REST000234,4.2,3446,56,37,20,15,263,52389,45025,54
REST000235,4.2,1794,49,37,21,13,241,224660,218755,53
REST000236,4.7,1831,78,46,23,23,252,85571,75743,43
REST000237,4,800,56,42,14,18,137,162827,158991,43
REST000238,4.8,3898,88,55,22,33,150,158769,152169,47
REST000239,3.9,2565,30,24,18,12,179,89829,87144,62
REST000240,3.8,1650,93,61,14,14,161,135275,127788,51
REST000241,3.9,1477,30,25,18,13,248,282263,278543,57
REST000242,3.9,4570,55,36,15,15,173,71466,66708,51
REST000243,4.3,4793,45,33,19,17,105,121621,119259,52
REST000244,3.9,4826,56,35,22,15,261,162456,155148,49
REST000245,4.4,1860,38,35,22,16,228,237238,232906,41
REST000246,4.4,4238,60,33,23,23,273,279789,271599,52
REST000247,4,3334,84,51,24,23,276,80128,68536,71
REST000248,4.5,749,45,35,18,38,189,67726,63473,55
REST000249,3.3,468,30,20,20,9,133,132148,130153,51
REST000250,4.2,3229,88,60,18,24,262,164567,153039,50
REST000251,3.8,2892,86,50,26,15,333,340798,326479,62
REST000252,4.3,2626,30,31,21,19,177,157868,155213,48
REST000253,3.9,417,68,40,14,6,123,149678,145496,41
REST000254,4,1487,84,64,20,24,241,86374,76252,50
REST000255,4.4,2912,30,26,20,22,164,180400,177940,45
REST000256,4.1,1057,74,46,22,18,230,130065,121555,51
REST000257,4.6,4064,41,28,15,24,193,172908,168952,47
REST000258,4.1,1009,40,22,18,25,126,94537,92017,62
REST000259,4.3,1976,76,50,19,14,202,54321,46645,53
REST000260,4.4,3026,86,50,23,14,251,200807,190014,55
REST000261,4.4,4193,53,44,19,12,261,210352,203436,49
REST000262,3.8,1543,45,47,26,5,321,125658,118436,60
REST000263,4.2,140,81,51,20,13,159,25948,19509,58
REST000264,4.2,3219,56,46,18,19,187,127732,122496,51
REST000265,4.4,2850,42,37,24,17,361,286157,278576,59
REST000266,4.3,3417,71,46,24,15,277,162310,152477,75
REST000267,3.8,3596,87,60,22,13,253,74397,63391,57
REST000268,3.6,63,47,32,19,10,140,127008,123718,47
REST000269,3.9,580,91,47,22,15,293,192430,179099,58
REST000270,3.7,4469,88,58,18,5,179,125790,117914,53
REST000271,4,3473,30,25,20,13,139,41811,39726,50
REST000272,4.4,1587,74,53,17,14,256,229478,220006,62
REST000273,3.5,3759,75,48,20,13,103,98962,95099,49
REST000274,3.3,1174,44,44,13,12,120,105757,103117,53
REST000275,4,3785,83,54,21,22,141,119075,113224,47
REST000276,4.2,4735,69,36,17,15,137,149756,145029,55
REST000277,4.2,2116,47,41,23,14,278,82199,75666,61
REST000278,4.2,4810,41,27,14,23,185,184396,180604,54
REST000279,3.2,2018,84,56,22,14,185,146753,138983,46
REST000280,4.3,2299,44,25,16,18,158,77110,73634,45
REST000281,4,645,71,52,18,22,177,30914,24631,54
REST000282,4.3,2493,77,60,25,16,357,168414,154670,56
REST000283,4.6,1877,35,33,21,28,220,123571,119721,65
REST000284,4.9,4371,48,39,20,27,315,200844,193284,47
REST000285,4.2,3889,54,43,18,24,153,106264,102133,55
REST000286,3.9,795,30,34,15,11,121,64486,62671,49
REST000287,3.7,3652,88,53,16,15,119,64674,59438,42
REST000288,3.2,457,70,46,22,15,156,103914,98454,63
REST000289,3.8,2725,69,37,22,13,317,140938,130001,55
REST000290,4,2154,74,48,22,16,215,32198,24243,50
REST000291,4.3,388,73,48,18,18,228,100397,92075,42
REST000292,3.9,2208,74,40,23,12,303,226544,215333,68
REST000293,3.6,3705,48,28,19,8,215,180245,175085,45
REST000294,3.8,2258,46,53,16,5,157,182917,179306,51
REST000295,3.9,713,57,29,25,5,302,120951,112344,63
REST000296,4,273,78,64,22,22,250,90480,80730,56
REST000297,4.6,4012,35,34,18,36,152,66308,63648,53
REST000298,4.2,3899,50,33,21,16,281,307678,300653,43
REST000299,3.8,2446,43,38,23,11,341,368910,361579,63
REST000300,3.4,1003,73,46,19,8,215,53289,45442,61
REST000301,3.9,4502,31,35,18,6,189,162109,159179,53
REST000302,3.9,4293,74,44,17,8,242,190616,181662,49
REST000303,4,4208,80,46,23,23,264,166486,155926,49
REST000304,4.8,3377,30,12,17,38,210,239836,236686,51
REST000305,3.3,4134,66,44,19,8,158,22652,17438,63
REST000306,4.2,334,94,52,22,17,236,183895,172803,40
REST000307,4.4,1684,30,34,16,15,143,142822,140677,45
REST000308,4,3958,53,36,24,15,323,228541,219982,73
REST000309,3.1,3242,30,19,19,6,166,125854,123364,57
REST000310,3.8,2150,57,42,20,7,199,172254,166582,50
REST000311,3.4,738,41,25,19,11,95,111731,109783,61
REST000312,4.1,913,35,32,18,18,109,117177,115269,46
REST000313,4.3,69,39,37,21,9,246,45669,40872,45
REST000314,4.8,3301,30,19,21,31,260,41490,37590,51
REST000315,3.5,3910,57,39,15,13,148,118000,113782,42
REST000316,5,249,38,39,24,13,428,266079,257947,59
REST000317,4.3,4861,38,30,19,19,165,51722,48587,51
REST000318,4.2,291,83,44,23,25,129,79960,74607,47
REST000319,3.6,2863,94,62,23,13,212,155078,145114,44
REST000320,4.1,84,43,41,19,15,106,114022,111743,62
REST000321,3.4,1423,40,37,19,12,87,105564,103824,61
REST000322,4.1,3976,57,37,17,15,171,108008,103135,41
REST000323,3.9,2113,31,35,15,15,125,34318,32381,45
REST000324,3.9,310,66,40,21,10,181,62915,56942,64
REST000325,4.6,1588,71,40,25,33,384,375552,361920,67
REST000326,4.4,2251,69,35,18,15,191,54817,48227,53
REST000327,3.7,4217,62,45,17,10,249,309178,301459,60
REST000328,4.3,777,78,56,20,23,286,303846,292692,56
REST000329,3.2,4298,40,41,23,11,163,63759,60499,55
REST000330,4.8,4009,51,42,18,25,253,182149,175698,51
REST000331,3.4,4404,39,39,23,5,250,71610,66735,64
REST000332,3.7,3285,58,48,23,5,284,206871,198635,71
REST000333,4,2168,40,35,21,15,196,159175,155255,61
REST000334,4.1,512,50,34,24,23,319,248258,240283,60
REST000335,3.9,121,36,27,27,10,299,90800,85418,62
REST000336,4.3,4519,44,45,16,12,163,177585,173999,47
REST000337,4.3,3156,58,37,18,10,134,104276,100390,49
REST000338,4.3,1099,60,39,20,21,120,24480,20880,61
REST000339,3.9,2118,35,32,18,11,142,148810,146325,51
REST000340,4.2,1465,64,43,25,22,356,372198,360806,64
REST000341,4,881,42,35,22,15,195,128220,124125,48
REST000342,4.1,3509,87,49,16,13,152,57583,50971,54
REST000343,3.5,1240,66,45,17,9,115,136398,132603,42
REST000344,5,1499,53,36,24,30,423,280330,269121,69
REST000345,3.7,1104,39,36,22,12,89,18882,17146,62
REST000346,4.4,657,70,54,22,14,165,39510,33735,53
REST000347,3.3,4696,33,29,23,7,145,86640,84247,48
REST000348,4.1,647,34,31,18,16,214,243039,239401,50
REST000349,4,4107,30,28,21,23,113,70880,69185,64
REST000350,4.1,1907,33,35,25,20,341,380811,375185,75
REST000351,4.1,2545,92,48,19,21,243,64560,53382,43
REST000352,3.5,1066,58,33,23,12,253,175523,168186,61
REST000353,3.4,3818,86,52,19,11,112,29484,24668,64
REST000354,4,4934,33,34,15,10,152,35788,33280,46
REST000355,4.7,2811,71,49,20,33,243,94478,85851,55
REST000356,4,3700,30,16,23,23,331,369306,364341,57
REST000357,3.6,3498,69,47,18,13,204,140013,132975,54
REST000358,3.7,277,30,31,13,6,158,138972,136602,48
REST000359,4.2,3077,71,44,20,22,190,209456,202711,56
REST000360,4.3,2141,59,43,25,14,350,124687,114362,57
REST000361,3.8,1187,83,60,23,7,193,216524,208515,47
REST000362,3.8,3703,92,50,26,6,238,91230,80282,68
REST000363,4.2,2693,59,47,19,12,109,52974,49758,48
REST000364,4.3,4006,80,41,21,23,206,172992,164752,61
REST000365,4.5,3057,53,41,24,30,299,180201,172277,55
REST000366,4.4,393,45,39,21,10,124,99135,96345,57
REST000367,4.6,2475,47,35,24,32,279,169419,162863,66
REST000368,4.2,50,35,32,19,14,210,115838,112163,41
REST000369,3.4,2647,60,48,19,8,92,45606,42846,59
REST000370,4,3729,47,37,24,16,350,314678,306453,73
REST000371,3.9,4518,36,28,15,9,119,88506,86364,48
REST000372,3.8,919,66,44,22,8,295,88588,78853,60
REST000373,3.4,3915,43,38,19,5,153,79067,75777,48
REST000374,4.2,1380,82,57,25,18,333,85414,71761,62
REST000375,3.9,4741,93,54,19,9,208,149273,139601,63
REST000376,3.7,4097,54,36,20,12,111,98124,95127,51
REST000377,4.2,2330,30,27,23,12,121,120934,119119,50
REST000378,3.9,1121,63,43,23,7,243,240436,232781,51
REST000379,4,2487,88,49,25,22,244,244854,234118,66
REST000380,4.4,4194,63,36,18,14,275,128309,119647,64
REST000381,3.3,2466,57,49,20,15,116,105792,102486,62
REST000382,3.5,889,92,54,23,14,268,206979,194651,61
REST000383,3.6,3209,48,37,25,7,320,66720,59040,68
REST000384,4.1,800,82,55,23,17,102,92048,87866,60
REST000385,4.3,3692,78,54,14,19,173,62785,56038,43
REST000386,3.3,2801,81,46,22,10,119,135981,131161,49
REST000387,4.1,2069,66,52,12,19,146,113319,108501,55
REST000388,4.5,520,32,40,21,21,265,242846,238606,63
REST000389,3.3,1875,59,49,21,15,162,33658,28879,49
REST000390,4,3393,54,47,18,11,99,106589,103916,62
REST000391,3.8,1814,30,36,26,9,298,169579,165109,61
REST000392,4.6,3727,75,45,19,22,299,46742,35530,51
REST000393,3.6,222,60,51,21,10,222,146968,140308,52
REST000394,4,2257,34,31,22,18,292,150549,145585,66
REST000395,3.6,661,57,28,24,9,319,339173,330082,64
REST000396,4.6,2132,64,38,21,31,212,30648,23864,45
REST000397,4.5,2961,30,31,19,31,134,106911,104901,64
REST000398,5,4641,50,31,18,21,307,333807,326132,48
REST000399,3.1,3368,76,44,21,12,149,36843,31181,54
REST000400,3.5,1632,31,31,20,6,103,88909,87313,50
REST000401,4.7,4855,40,39,28,33,329,334474,327894,56
REST000402,4.2,2445,50,42,20,19,126,85478,82328,56
REST000403,4.2,2135,43,40,13,15,160,51086,47646,42
REST000404,3.6,2164,83,58,19,8,101,35178,30986,47
REST000405,4.5,2024,70,36,14,25,202,234522,227452,50
REST000406,3.8,2866,53,36,23,12,262,249350,242407,61
REST000407,3.8,1059,56,33,19,11,202,188326,182670,46
REST000408,3.7,1374,47,36,16,13,162,77837,74030,55
REST000409,3.6,2047,43,39,20,5,177,31576,27771,48
REST000410,4.7,4447,85,56,27,30,295,99061,86523,63
REST000411,3.1,3234,63,40,22,12,237,234587,227121,67
REST000412,4.4,3383,32,30,21,18,267,177392,173120,50
REST000413,4.2,941,77,40,13,23,137,121335,116060,48
REST000414,4.3,3051,33,30,23,14,133,142145,139950,64
REST000415,3.6,556,61,38,23,11,192,214811,208955,58
REST000416,3.7,4861,31,37,22,5,215,120240,116908,57
REST000417,3.8,970,59,34,19,10,213,223771,217487,59
REST000418,4.4,2844,70,37,18,10,174,83753,77663,63
REST000419,4,4697,69,51,20,13,117,104270,100233,55
REST000420,3.6,2735,30,34,15,11,141,59445,57330,54
REST000421,3.9,2807,68,45,18,7,138,148579,143887,64
REST000422,3.9,2361,83,52,23,7,319,177099,163860,60
REST000423,4.4,2374,50,35,22,16,206,136578,131428,62
REST000424,3.4,74,70,40,18,7,83,68944,66039,63
REST000425,3.4,4740,44,40,22,13,228,242573,237557,63
REST000426,3.9,1675,70,44,27,7,261,63637,54502,66
REST000427,4.1,3488,31,25,28,15,352,242288,236832,68
REST000428,3.8,2344,44,32,23,11,180,130561,126601,44
REST000429,3.9,3491,30,33,20,10,128,148275,146355,63
REST000430,4.3,1005,81,42,19,19,273,241473,230417,59
REST000431,4.2,1194,60,44,21,24,123,100279,96589,54
REST000432,4.2,963,30,26,22,11,268,275723,271703,55
REST000433,3.9,2616,79,49,21,14,240,114328,104848,49
REST000434,4,4690,38,17,21,19,251,286132,281363,47
REST000435,3.3,1021,76,50,23,11,224,165580,157068,66
REST000436,4.3,3810,59,46,17,24,201,178508,172578,53
REST000437,4.3,2057,67,38,17,22,162,176814,171387,64
REST000438,4.7,3789,56,44,23,34,241,271488,264740,52
REST000439,3.3,499,74,50,14,15,133,110376,105455,41
REST000440,3.7,3763,80,49,19,9,149,78569,72609,59
REST000441,3.9,1063,63,41,17,9,109,126115,122681,58
REST000442,4.3,3974,50,36,18,13,131,19228,15953,49
REST000443,3.5,4415,91,47,22,15,202,41595,32404,50
REST000444,4,3919,60,32,16,13,124,36560,32840,45
REST000445,4.3,3345,79,45,20,19,114,64204,59701,55
REST000446,4,784,56,35,27,16,262,162762,155426,59
REST000447,3.6,2216,70,35,18,10,192,108318,101598,45
REST000448,3.9,2646,82,46,18,9,156,119349,112953,49
REST000449,3.8,3036,65,45,19,11,141,83601,79019,60
REST000450,4.4,2581,60,41,18,16,123,107214,103524,51
REST000451,4.8,2689,49,35,12,37,190,193450,188795,41
REST000452,3.3,3552,30,27,22,11,270,204703,200653,72
REST000453,3.1,333,37,30,23,8,123,118955,116680,62
REST000454,4.2,4845,50,42,15,16,158,45662,41712,49
REST000455,4.2,2962,30,17,28,22,306,62350,57760,61
REST000456,4.7,2410,33,28,23,25,294,320101,315250,43
REST000457,4.4,1192,46,27,18,21,228,45805,40561,59
REST000458,3.8,799,57,39,18,7,196,186274,180688,43
REST000459,3.8,1199,64,42,22,5,256,43929,35737,58
REST000460,3.8,2298,55,33,22,13,192,125798,120518,44
REST000461,2.9,689,31,20,23,8,208,83763,80539,75
REST000462,3.5,1863,49,43,19,11,89,90617,88436,62
